Index	Name	Description	File Name	Quantity
8.2	terminal		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/OctoForge.FCStd	1
8.2.1	terminal 1		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/chamber subassembly.FCStd	1
8.2.1.1	terminal		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/power terminal subassembly.FCStd	1
8.2.1.1.1	bar		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical RAD/OCT-PTERM-AA.FCStd	3
8.2.1.1.2	nut		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical RAD/OCT-PTNUT-AA.FCStd	12
8.3	terminal002		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/OctoForge.FCStd	1
8.3.1	terminal 2		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/chamber subassembly.FCStd	1
8.3.1.1	terminal		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/power terminal subassembly.FCStd	1
8.3.1.1.1	bar		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical RAD/OCT-PTERM-AA.FCStd	3
8.3.1.1.2	nut		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical RAD/OCT-PTNUT-AA.FCStd	12
8.4	terminal004		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/OctoForge.FCStd	1
8.4.1	terminal 3		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/chamber subassembly.FCStd	1
8.4.1.1	terminal		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/power terminal subassembly.FCStd	1
8.4.1.1.1	bar		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical RAD/OCT-PTERM-AA.FCStd	3
8.4.1.1.2	nut		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical RAD/OCT-PTNUT-AA.FCStd	12
8.5	terminal006		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/OctoForge.FCStd	1
8.5.1	terminal 4		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/chamber subassembly.FCStd	1
8.5.1.1	terminal		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/power terminal subassembly.FCStd	1
8.5.1.1.1	bar		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical RAD/OCT-PTERM-AA.FCStd	3
8.5.1.1.2	nut		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical RAD/OCT-PTNUT-AA.FCStd	12
8.6	terminal008		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/OctoForge.FCStd	1
8.6.1	terminal 5		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/chamber subassembly.FCStd	1
8.6.1.1	terminal		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/power terminal subassembly.FCStd	1
8.6.1.1.1	bar		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical RAD/OCT-PTERM-AA.FCStd	3
8.6.1.1.2	nut		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical RAD/OCT-PTNUT-AA.FCStd	12
8.7	terminal010		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/OctoForge.FCStd	1
8.7.1	terminal 6		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/chamber subassembly.FCStd	1
8.7.1.1	terminal		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/power terminal subassembly.FCStd	1
8.7.1.1.1	bar		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical RAD/OCT-PTERM-AA.FCStd	3
8.7.1.1.2	nut		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical RAD/OCT-PTNUT-AA.FCStd	12
8.8	terminal012		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/OctoForge.FCStd	1
8.8.1	terminal 7		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/chamber subassembly.FCStd	1
8.8.1.1	terminal		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/power terminal subassembly.FCStd	1
8.8.1.1.1	bar		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical RAD/OCT-PTERM-AA.FCStd	3
8.8.1.1.2	nut		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical RAD/OCT-PTNUT-AA.FCStd	12
8.9	terminal014		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/OctoForge.FCStd	1
8.9.1	terminal 8		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/chamber subassembly.FCStd	1
8.9.1.1	terminal		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/power terminal subassembly.FCStd	1
8.9.1.1.1	bar		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical RAD/OCT-PTERM-AA.FCStd	3
8.9.1.1.2	nut		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical RAD/OCT-PTNUT-AA.FCStd	12
9	bracket		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical RAD/OCT-LBRAC-AA.FCStd	6
10	bracket		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical RAD/OCT-UBRAC-AA.FCStd	6
11	front panel		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical RAD/OCT-LFPNL-FB.FCStd	1
12	base panel		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical RAD/OCT-LFPNL-AB.FCStd	6
13	PSU		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/OCT-ATXPS-AA.FCStd	1
14	base panel		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical RAD/OCT-LFPNL-PB.FCStd	1
15	OCT-UFPNL-AB		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical RAD/OCT-UFPNL.FCStd	5
16	OCT-CPBRC-AA		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical RAD/OCT-CPBRC.FCStd	7
17	OCT-UFPNL-CB		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical RAD/OCT-UFPNL.FCStd	2
18	lower block		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical RAD/OCT-LBLOK-AB.FCStd	4
19	upper left block		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical RAD/OCT-ULBLK-AB.FCStd	2
20	upper right block		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical RAD/OCT-URBLK-AB.FCStd	2
21	OCT-UFPNL-BB		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical RAD/OCT-UFPNL.FCStd	1
22	OCT-CPBRC-BA		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical RAD/OCT-CPBRC.FCStd	1
23	97-637SS		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical COTS/Protex 95-637SS spring loaded handle.FCStd	2
23.1	637ALG MSZN		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical COTS/Protex 95-637SS spring loaded handle.FCStd	1
23.2	637BMSZN		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical COTS/Protex 95-637SS spring loaded handle.FCStd	1
23.3	596DGFNMSZN		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical COTS/Protex 95-637SS spring loaded handle.FCStd	1
